url| length_of_url| number_of_dots| suspicious_words| number_of_hyphens_in_domain| length_of_directory|number_subdirectories_in_url| length_of_domain|words_in_domain| path_tokens| url_contains_ip| has_alexa_rank|use_https| country_code|age |words| entropy| special_chars |length_of_largest_domain_token| average_length_of_domain_tokens|length_of_largest_path_token| average_length_of_path_tokens| suspicious_tld_name| file_name_present| len_of_filename| num_dot_in_filename| num_delims_in_filename| args_present| length_of_arguments| number_of_argument_variables| length_of_largest_variable| maximum_number_of_delims in arguments| class
https://ecnavi.jp/global/combo/combo.php?type=css&path=ecnavi:ecnavi|60|2|0|0|14|2|9|2|2|0|1|1|United_States|1|9|4.31719|1|6|4.0|6|5.5|0|1|9|1|0|1|28|2|13|0|global/fancybox/css/fancybox
http://ecnavi.jp/global/combo/combo.php?type=css&path=ecnavi:ecnavi|60|2|0|0|14|2|9|2|2|0|1|0|United_States|1|9|4.31057|1|6|4.0|6|5.5|0|1|9|1|0|1|28|2|13|0|global/css/global
https://ecnavi.jp/global/combo/combo.php?type=js&path=ecnavi:ecnavi|59|2|0|0|14|2|9|2|2|0|1|1|United_States|1|9|4.33894|1|6|4.0|6|5.5|0|1|9|1|0|1|27|2|13|0|global/js/jquery/jquery_1_4_4
