,length_of_url,number_of_dots,suspicious_words,number_of_hyphens_in_domain,length_of_directory,number_subdirectories_in_url,length_of_domain,words_in_domain,path_tokens,url_contains_ip,has_alexa_rank,use_https,country_code,age,words,entropy,special_chars,length_of_largest_domain_token,average_length_of_domain_tokens,length_of_largest_path_token,average_length_of_path_tokens,suspicious_tld_name,file_name_present,len_of_filename,num_dot_in_filename,num_delims_in_filename,args_present,length_of_arguments,number_of_argument_variables,length_of_largest_variable,maximum_number_of_delims_in_arguments
count,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0,24586.0
mean,98.34251199869844,3.6634670137476615,0.3194500935491743,0.18778979907264295,30.98649638005369,2.6298299845440494,20.972952086553324,3.55974945090702,2.6298299845440494,0.0077279752704791345,0.08419425689416742,0.00878548767591312,174.5396160416497,0.6552916293825755,11.63662246807126,4.597118213210771,0.9941430082160579,10.079272756853493,5.23685837468478,17.273204262588465,11.701336126250714,0.00109818595948914,0.7723907915073619,13.206743675262345,0.6620027658016757,0.5501911657040592,0.32168713902220775,32.839420808590255,0.8658586187261043,22.448791995444562,0.16619214186935655
std,118.55777293773711,1.9603920829890358,0.4662730682136141,0.6082603544898154,35.09267750561134,2.2059516320127144,13.09053130662277,1.6455575321098095,2.2059516320127144,0.08757034644509806,0.2776845697656048,0.09332018588839487,80.00443446982997,0.4752827555710713,5.011873577754723,0.43182571108311124,0.07630808784270499,5.3761822198667915,2.0491248144564294,24.111241319791397,20.75881243001403,0.03312136118844673,0.419297516730194,19.14737606686696,0.5987324073232465,1.832241960009976,0.46713317065307974,116.97372417331107,1.7442033544440285,113.99528301062661,0.46188633175087546
min,15.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.62137,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,46.0,3.0,0.0,0.0,9.0,1.0,14.0,3.0,1.0,0.0,0.0,0.0,77.0,0.0,8.0,4.274792500000002,1.0,6.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,69.0,3.0,0.0,0.0,17.0,2.0,18.0,3.0,2.0,0.0,0.0,0.0,225.0,1.0,10.0,4.53442,1.0,9.0,5.0,8.0,6.5,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,106.0,4.0,1.0,0.0,42.0,3.0,23.0,4.0,3.0,0.0,0.0,0.0,248.0,1.0,14.0,4.85834,1.0,12.0,6.25,18.0,10.67,0.0,1.0,14.0,1.0,0.0,1.0,18.0,1.0,5.0,0.0
max,1417.0,26.0,1.0,11.0,584.0,36.0,236.0,27.0,36.0,1.0,1.0,1.0,248.0,1.0,45.0,5.93769,1.0,145.0,74.0,200.0,194.0,1.0,1.0,248.0,18.0,32.0,1.0,1389.0,19.0,1385.0,9.0
